Day; Time; CPU usage(%); Core 0; Core 1; Core 2; Core 3; Core 4; Core 5; Core 6; Core 7; Core 8; Core 9; Core 10; Core 11; Core 12; Core 13; Core 14; Core 15
20-01-2020;20:39:05;2.3;47.0;50.0;48.0;48.0;;;;;47.0;50.0;48.0;48.0;;;;
20-01-2020;20:39:10;2.3;48.0;50.0;47.0;48.0;;;;;48.0;50.0;47.0;48.0;;;;
20-01-2020;20:39:15;2.3;49.0;52.0;51.0;49.0;;;;;49.0;52.0;51.0;49.0;;;;
20-01-2020;20:39:21;2.3;47.0;51.0;47.0;49.0;;;;;47.0;51.0;47.0;49.0;;;;
20-01-2020;20:39:26;2.3;47.0;49.0;48.0;48.0;;;;;47.0;49.0;48.0;48.0;;;;
20-01-2020;20:39:31;2.3;47.0;49.0;46.0;48.0;;;;;47.0;49.0;46.0;48.0;;;;
20-01-2020;20:39:37;2.3;62.0;62.0;66.0;56.0;;;;;62.0;62.0;66.0;56.0;;;;
20-01-2020;20:39:42;2.3;48.0;50.0;48.0;57.0;;;;;48.0;50.0;48.0;57.0;;;;
20-01-2020;20:39:47;2.3;48.0;50.0;50.0;56.0;;;;;48.0;50.0;50.0;56.0;;;;
20-01-2020;20:39:52;2.3;47.0;51.0;47.0;48.0;;;;;47.0;51.0;47.0;48.0;;;;
20-01-2020;20:40:57;2.3;47.0;49.0;47.0;48.0;;;;;47.0;49.0;47.0;48.0;;;;
20-01-2020;20:41:03;2.3;47.0;49.0;46.0;48.0;;;;;47.0;49.0;46.0;48.0;;;;
